"","spot_1_1","spot_1_2","spot_1_3","spot_1_4","spot_1_5","spot_1_6","spot_1_7","spot_1_8","spot_1_9","spot_2_1","spot_2_2","spot_2_3","spot_2_4","spot_2_5","spot_2_6","spot_2_7","spot_2_8","spot_2_9","spot_3_1","spot_3_2","spot_3_3","spot_3_4","spot_3_5","spot_3_6","spot_3_7","spot_3_8","spot_3_9","spot_4_1","spot_4_2","spot_4_3","spot_4_4","spot_4_5","spot_4_6","spot_4_7","spot_4_8","spot_4_9","spot_5_1","spot_5_2","spot_5_3","spot_5_4","spot_5_5","spot_5_6","spot_5_7","spot_5_8","spot_5_9","spot_6_1","spot_6_2","spot_6_3","spot_6_4","spot_6_5","spot_6_6","spot_6_7","spot_6_8","spot_6_9","spot_7_1","spot_7_2","spot_7_3","spot_7_4","spot_7_5","spot_7_6","spot_7_7","spot_7_8","spot_7_9","spot_8_1","spot_8_2","spot_8_3","spot_8_4","spot_8_5","spot_8_6","spot_8_7","spot_8_8","spot_8_9","spot_9_1","spot_9_2","spot_9_3","spot_9_4","spot_9_5","spot_9_6","spot_9_7","spot_9_8","spot_9_9","spot_10_3","spot_10_4","spot_10_5","spot_10_6"
"Zfp319",0,0,1,3,4,7,1,0,3,1,2,6,5,1,5,8,3,3,0,1,2,6,0,4,4,1,2,2,3,3,1,2,11,3,3,1,4,5,2,3,6,2,3,2,2,2,3,7,3,2,0,7,3,4,2,4,6,6,5,5,2,0,0,8,7,1,2,3,4,2,7,7,6,2,1,2,2,4,1,2,0,0,3,1,2
"Usb1",0,0,0,1,3,2,4,0,1,0,2,6,0,3,3,5,6,2,2,1,5,4,0,6,2,5,0,1,0,2,1,1,6,4,2,3,3,2,2,4,1,3,3,3,2,1,2,6,1,4,2,3,2,2,1,2,7,7,3,3,2,2,2,3,2,3,1,4,2,5,2,1,2,3,2,0,0,3,4,2,2,2,2,0,1
"Mmp15",10,2,1,2,2,3,2,1,0,2,0,3,5,4,3,6,1,3,1,3,7,2,1,1,2,2,0,2,12,7,3,2,8,0,2,1,2,5,3,5,2,3,1,3,2,1,1,4,3,2,2,5,2,2,1,0,7,3,3,4,4,0,3,6,6,1,6,4,1,5,5,1,1,0,1,4,1,1,3,3,0,0,2,1,0
"Csnk2a2",0,0,0,1,2,2,1,0,0,0,1,7,2,8,2,4,2,2,1,2,3,4,2,7,4,4,1,2,4,5,4,1,6,2,4,2,4,1,2,3,2,3,3,5,5,1,5,6,1,1,0,2,2,1,0,7,3,9,4,0,5,2,3,2,4,1,1,3,2,4,2,0,7,1,0,4,0,1,4,5,0,2,2,0,1
"Gins3",0,0,2,0,0,2,0,0,0,0,0,1,1,1,4,1,3,2,0,0,2,4,0,9,0,3,0,2,1,4,1,4,5,1,1,0,2,0,0,0,2,3,2,4,4,0,1,4,5,2,2,8,0,2,0,0,1,5,2,2,2,0,4,2,3,1,3,7,0,0,6,3,3,0,2,8,0,1,1,1,2,0,0,2,4
"Setd6",0,0,0,2,3,5,0,0,0,0,0,5,3,2,1,1,1,2,2,2,2,0,1,2,4,4,2,2,0,10,6,3,8,6,1,2,3,3,2,2,2,3,4,1,4,4,2,4,1,0,4,5,0,2,0,7,6,5,7,8,3,0,2,2,7,1,3,8,2,1,5,2,1,4,2,5,1,0,2,2,2,0,0,2,1
"Cnot1",0,0,0,1,3,8,1,0,3,0,1,9,7,7,8,8,6,2,1,6,4,10,0,3,3,9,0,5,3,9,4,6,7,1,8,6,4,1,2,10,6,6,2,4,1,2,7,7,3,6,3,6,4,2,0,1,8,4,16,4,3,1,1,4,7,4,4,4,4,4,4,5,1,2,2,2,1,4,3,5,0,1,0,2,2
"Slc38a7",0,0,0,2,2,4,4,0,1,0,1,2,2,3,2,3,4,8,1,1,5,6,3,10,2,3,1,3,2,5,3,2,7,3,3,4,7,7,2,5,4,5,3,7,2,0,0,4,4,1,5,8,1,0,6,8,5,4,5,3,6,0,0,3,5,7,1,10,3,0,3,3,1,0,1,3,0,2,0,3,0,0,1,0,3
"Bean1",0,1,0,0,0,2,0,0,0,0,0,2,0,0,2,3,3,2,3,2,6,2,1,2,1,1,0,4,0,2,1,2,2,4,1,0,1,1,2,2,0,2,2,1,0,0,2,0,1,1,0,3,3,0,0,1,3,4,3,2,1,1,0,1,1,1,1,2,2,2,3,2,2,0,0,1,0,2,0,5,2,0,0,0,3
"Tk2",0,1,1,4,6,4,3,0,2,2,4,9,5,4,6,6,4,4,3,8,9,6,2,8,1,4,6,4,1,9,3,4,6,3,7,2,5,5,3,7,4,7,4,5,0,0,6,7,8,6,5,10,5,2,3,6,13,2,10,5,5,4,4,3,7,4,3,9,2,6,5,1,2,4,3,7,0,3,3,5,1,1,0,0,2
"Cmtm3",0,1,0,2,1,3,0,2,0,2,5,7,6,7,4,7,7,1,1,2,7,3,2,2,3,5,2,6,1,6,4,4,9,4,5,3,1,2,4,2,1,4,5,4,2,0,1,8,2,3,0,4,1,2,2,7,11,6,5,7,4,0,7,3,5,2,3,3,0,6,2,1,3,2,3,4,2,4,0,5,0,0,1,2,2
"Dync1li2",0,2,4,2,7,15,4,0,2,4,9,10,6,6,14,9,7,4,2,4,11,6,4,6,8,6,3,5,6,10,10,9,11,5,13,3,4,8,2,5,11,11,9,7,3,2,0,8,2,7,3,8,6,5,4,9,7,8,8,4,10,2,6,8,8,3,4,16,3,5,7,3,6,4,7,11,3,7,7,9,2,0,1,0,8
"Car7",0,0,1,2,2,8,2,0,2,2,3,2,3,3,8,6,1,3,1,3,2,5,5,3,4,3,0,2,0,11,4,7,6,4,7,0,1,3,1,7,3,2,7,5,5,1,2,7,5,4,3,7,4,1,1,5,9,7,10,7,3,1,2,4,2,2,7,9,2,3,1,4,2,2,1,3,1,1,3,5,2,0,1,0,4
"Pdp2",0,2,2,2,3,3,0,0,0,1,2,6,4,4,3,1,3,3,2,3,0,1,0,5,3,2,4,7,2,4,2,1,4,6,4,1,4,3,0,5,1,3,5,1,2,0,4,5,3,4,1,3,1,2,2,4,9,7,1,6,5,0,2,2,3,2,3,6,1,4,3,2,3,2,2,4,1,6,1,0,0,0,0,0,2
"Cdh16",0,0,0,2,0,4,1,0,3,0,1,7,2,1,6,2,0,1,1,5,0,1,0,4,2,3,2,6,0,3,2,4,7,1,0,1,3,7,0,3,4,2,0,0,3,2,2,3,2,5,4,2,5,1,0,1,6,5,3,5,7,4,0,0,4,4,3,7,2,0,3,3,0,0,0,4,0,2,3,0,1,0,0,0,1
"Ces4a",0,1,0,0,1,1,1,1,0,1,2,5,1,4,4,2,3,3,1,4,6,1,1,2,5,3,1,2,0,10,3,1,7,3,3,1,3,3,0,1,5,6,2,0,2,2,2,4,1,5,3,5,3,4,3,4,4,5,1,2,5,2,1,4,3,3,1,6,0,5,0,1,4,0,5,4,0,4,4,3,1,0,1,0,3
"Fbxl8",0,0,0,1,0,4,1,0,0,0,1,5,2,2,2,3,1,4,0,2,5,2,2,2,2,1,2,2,1,2,4,3,1,0,3,0,1,2,0,1,2,2,3,1,3,1,3,4,1,2,0,0,0,0,1,2,3,5,5,4,0,0,1,0,1,5,2,4,3,3,1,1,5,0,4,4,0,5,2,2,0,0,3,0,1
"Nol3",0,0,2,0,6,2,2,0,0,0,1,8,3,6,2,10,10,4,0,4,7,7,2,6,6,6,4,2,3,8,1,5,5,5,6,1,7,6,0,5,1,4,2,1,4,0,3,8,4,5,4,5,7,2,3,4,14,8,4,7,5,2,1,2,2,5,1,7,1,2,2,2,0,2,2,5,2,11,5,5,2,0,0,0,3
"Exoc3l",0,0,1,0,2,1,0,1,0,0,1,1,0,6,0,3,3,3,0,1,5,1,2,2,3,4,1,1,1,3,0,4,4,2,2,1,3,1,3,4,0,5,1,2,1,1,0,6,2,3,5,6,1,2,0,7,3,7,3,2,1,1,1,4,3,1,0,2,1,1,1,1,1,1,2,3,0,1,2,6,1,0,0,2,0
"E2f4",1,0,1,6,3,8,3,0,1,0,6,10,4,5,10,14,8,8,2,6,12,7,4,7,8,4,2,4,3,12,9,5,12,5,8,2,6,3,4,5,7,8,16,4,1,2,3,10,6,4,3,8,6,6,3,8,14,16,11,8,6,6,2,2,8,13,6,8,3,10,2,10,8,1,1,9,0,9,9,7,5,2,1,1,2
"Elmo3",0,1,0,0,3,1,1,0,0,0,1,6,2,1,3,2,4,2,1,3,1,1,3,3,4,6,1,2,1,6,1,5,6,4,1,1,1,4,2,2,7,4,8,2,2,1,2,7,2,5,3,5,3,1,3,1,9,4,10,4,6,1,2,1,5,4,1,5,2,3,4,1,2,1,2,2,1,3,8,6,2,0,2,0,5
"Lrrc29",0,0,1,1,4,6,0,0,0,1,2,3,1,3,6,5,2,2,1,1,6,1,1,4,5,3,1,3,2,4,2,3,7,2,4,1,2,4,4,4,2,4,1,0,3,0,0,7,2,5,0,3,2,0,1,5,3,3,5,3,2,2,3,1,3,2,0,1,1,3,2,1,1,1,1,2,0,3,2,3,1,2,0,0,3
"Slc9a5",0,1,0,1,2,1,0,0,1,2,0,4,2,4,2,5,4,2,1,4,3,3,2,1,2,2,1,3,2,7,2,0,5,1,5,1,3,2,0,7,4,2,4,2,2,0,2,3,3,5,1,2,2,0,0,5,7,9,4,3,5,1,2,2,0,3,2,12,4,5,5,1,2,0,3,1,0,6,3,2,2,0,2,1,3
"Plekhg4",2,1,1,3,4,5,3,0,0,0,1,2,2,1,4,2,1,6,1,1,3,3,0,6,1,4,2,1,1,6,3,3,3,3,1,1,5,2,2,4,2,5,5,0,1,0,2,9,4,1,1,6,4,1,2,2,4,3,6,4,1,1,1,2,1,6,4,3,1,3,4,1,2,0,2,5,0,3,3,2,0,0,2,0,2
"Kctd19",0,0,0,0,2,0,0,0,0,0,0,4,1,3,0,1,3,4,0,1,1,0,0,6,1,2,1,2,0,4,1,3,4,4,0,1,0,0,1,4,0,2,4,3,2,2,3,4,3,1,2,2,1,0,4,1,2,7,2,4,5,2,2,2,2,2,2,2,1,0,1,1,2,2,2,1,0,1,2,5,0,0,2,0,2
"Lrrc36",0,1,1,0,2,5,0,0,0,0,1,2,2,5,1,6,2,3,0,2,3,1,2,2,3,4,1,1,0,3,0,2,3,0,3,1,1,0,0,2,2,3,2,3,0,0,2,8,0,3,1,3,2,0,2,0,4,5,7,3,1,0,2,2,1,5,1,5,2,3,4,0,3,1,0,2,1,5,4,2,1,0,0,0,1
"Zdhhc1",0,2,1,4,5,11,3,0,1,2,3,13,3,7,7,9,5,4,4,10,7,5,2,13,5,2,2,5,0,14,1,7,9,5,4,4,3,7,1,7,6,9,7,6,7,1,1,12,3,4,1,12,4,1,4,6,12,12,12,6,6,2,8,5,3,5,4,8,5,4,4,1,6,4,3,2,2,8,4,3,2,0,0,2,4
"Hsd11b2",0,1,0,0,1,0,1,0,0,0,0,1,3,0,2,4,2,2,0,0,3,3,0,2,1,4,0,0,0,4,1,2,5,3,4,0,2,2,0,2,3,3,2,2,2,1,3,4,8,2,0,2,4,1,0,5,4,5,8,4,5,0,4,3,2,1,0,0,0,2,5,0,1,3,0,2,0,3,0,2,0,2,1,1,1
"Ctcf",0,0,0,3,3,6,0,0,0,1,1,6,2,3,1,5,4,2,1,4,5,1,3,3,4,4,0,4,1,5,3,2,6,6,3,0,2,5,1,5,8,7,9,1,1,0,2,1,0,5,0,3,3,2,0,3,8,1,3,1,3,5,0,2,3,2,1,2,4,2,6,3,4,1,0,1,2,1,5,5,1,0,0,2,3
"Gfod2",1,0,2,4,7,2,0,0,2,0,5,6,6,5,7,12,4,5,3,4,8,7,2,3,6,9,0,9,3,7,5,6,8,3,8,4,7,3,1,1,7,4,7,3,4,1,4,9,4,4,5,8,8,0,0,8,8,7,7,4,11,3,1,5,10,3,3,9,3,3,4,4,6,0,5,6,1,3,7,13,1,2,2,0,3
"Ranbp10",0,0,0,0,1,2,0,2,0,2,0,8,1,4,7,2,1,4,2,2,7,2,0,2,2,3,1,4,4,4,6,5,4,2,3,4,4,2,1,3,4,1,7,0,3,0,2,3,4,3,3,2,4,2,2,6,7,3,3,13,6,0,3,5,4,1,1,2,0,2,0,2,4,1,2,2,2,5,1,3,1,0,3,0,2
"Tsnaxip1",0,1,2,0,3,0,2,0,0,1,0,5,1,2,0,3,1,3,0,0,0,1,0,0,2,0,0,3,2,2,6,4,1,0,0,0,3,0,0,1,5,0,3,1,4,1,1,2,0,2,1,0,0,2,2,4,5,0,3,0,6,0,0,0,3,2,2,6,1,0,3,5,0,1,0,1,0,1,2,2,0,0,0,0,0
"Cenpt",0,0,0,2,0,1,2,0,0,0,0,3,0,4,3,3,5,0,0,0,1,5,4,4,2,4,2,4,0,2,2,2,8,3,1,2,3,0,1,6,2,2,7,4,7,2,3,8,4,3,3,4,3,3,1,4,7,0,3,0,1,4,4,1,9,2,2,7,0,4,4,2,5,0,2,8,1,4,4,3,1,0,1,0,0
"Thap11",0,2,0,4,3,5,2,0,0,0,2,6,7,6,3,5,3,5,2,2,2,1,4,6,2,1,0,3,0,2,2,3,8,5,5,2,2,5,1,7,5,2,4,3,5,1,2,10,2,2,2,6,1,2,4,7,8,6,8,5,2,2,1,5,4,5,2,3,0,3,2,1,3,0,0,4,1,4,3,5,0,0,0,0,4
"Nutf2",0,2,1,5,4,8,1,0,1,0,3,7,2,7,3,6,6,3,3,2,12,3,1,7,6,5,3,1,5,6,3,1,6,6,4,2,6,4,1,3,0,2,2,3,1,2,5,11,3,4,3,8,3,2,2,4,7,7,3,4,2,1,2,9,3,3,2,9,3,3,2,3,1,1,0,4,1,6,6,6,0,2,1,0,0
"Pskh1",2,0,0,2,0,0,0,0,0,0,1,2,0,0,3,1,4,2,2,4,4,2,0,3,0,2,2,2,0,6,1,4,7,1,2,0,1,0,2,3,4,3,5,2,0,0,4,5,2,0,0,8,0,0,3,0,4,3,1,2,6,3,0,1,1,0,2,1,1,0,2,2,1,1,2,5,0,2,2,3,0,1,0,0,3
"Ddx28",0,0,0,2,5,4,2,0,0,0,0,7,3,0,7,8,4,6,1,0,7,1,1,4,2,1,0,2,0,10,0,1,9,2,1,0,2,4,1,5,3,1,2,0,8,1,4,10,5,4,5,9,4,2,1,3,7,5,2,3,6,4,1,5,4,5,3,7,2,2,7,0,3,0,1,4,3,5,3,5,0,0,2,2,1
"Nfatc3",0,0,0,2,2,0,2,1,1,0,0,2,4,2,6,1,3,3,0,4,4,1,0,2,1,4,4,1,0,0,3,2,9,3,3,2,5,2,0,1,6,3,4,0,0,2,3,3,8,7,0,6,5,0,1,5,9,3,6,8,3,2,0,4,6,0,0,5,0,2,6,0,8,2,2,5,0,4,2,3,1,0,3,0,2
"Esrp2",1,1,0,1,4,2,1,0,0,0,0,5,3,5,0,3,3,4,2,2,3,4,1,4,1,2,1,2,5,4,3,2,2,5,2,0,4,3,1,2,6,3,1,1,1,1,3,3,0,6,2,3,4,3,0,2,3,2,2,4,7,2,1,3,4,2,2,3,2,2,1,2,1,0,1,4,2,2,1,5,3,0,1,1,2
"Pla2g15",2,2,0,1,3,3,2,0,1,0,0,5,6,1,5,5,4,5,2,1,3,4,6,4,6,2,0,6,0,6,2,3,7,5,2,0,0,8,1,3,3,6,4,2,2,0,1,5,4,0,1,12,5,3,0,4,5,2,5,0,4,2,2,0,1,1,2,4,1,0,1,0,2,0,4,4,1,1,2,6,0,0,0,1,0
"Slc7a6",2,1,0,2,4,4,0,0,2,0,4,4,0,3,6,4,4,6,3,6,3,1,3,6,5,3,1,4,3,6,5,2,6,5,2,2,4,2,4,3,10,4,2,2,0,2,5,3,4,3,2,5,3,5,3,6,9,5,6,2,5,0,5,2,4,1,2,11,0,4,4,0,6,0,1,6,0,4,5,3,1,0,1,1,4
"Prmt7",0,2,0,6,9,14,3,0,3,4,2,12,8,9,10,16,14,10,8,12,14,8,4,11,4,10,4,6,2,17,6,8,12,7,8,3,9,10,5,10,9,9,14,8,6,2,12,16,11,12,6,11,10,4,9,9,15,11,12,13,13,2,6,7,5,5,3,18,3,8,2,5,12,5,13,12,5,7,14,11,1,2,1,0,4
"Cdh3",0,0,0,2,0,3,0,0,2,2,3,0,0,7,5,2,2,5,0,1,3,5,3,6,3,4,4,3,2,1,0,1,2,5,4,1,1,1,0,5,4,2,4,2,3,1,3,6,2,5,0,1,1,0,2,6,6,6,1,1,4,1,2,2,6,0,1,1,0,2,4,4,3,2,0,0,3,3,1,7,0,0,0,1,3
"Tango6",0,0,0,4,4,2,3,0,1,1,0,3,2,3,6,7,6,2,3,3,5,3,1,5,5,4,1,6,4,2,1,0,3,4,5,0,1,1,2,4,1,4,3,4,1,0,3,3,4,4,1,5,2,4,2,5,8,3,7,5,2,1,1,5,3,0,0,6,0,4,3,0,5,1,1,3,2,1,4,3,0,2,2,0,2
"Has3",0,0,0,1,3,6,2,0,1,1,1,1,1,5,3,7,6,4,0,6,8,6,6,1,2,3,0,0,3,8,6,9,12,0,5,1,3,5,4,7,2,5,5,1,2,2,4,7,5,4,3,4,6,1,1,8,2,7,9,3,11,1,2,5,7,6,3,4,0,0,4,3,7,4,4,9,0,5,6,1,0,0,0,2,7
"Chtf8",2,0,4,4,7,7,2,0,1,4,2,9,3,8,6,10,9,7,2,6,14,12,2,7,4,8,4,9,5,17,13,2,8,7,8,4,7,4,3,6,2,7,13,6,6,2,6,9,6,5,4,11,4,3,3,10,18,12,10,8,5,2,4,4,12,3,8,13,4,11,9,6,7,2,2,7,0,4,4,13,1,0,1,2,11
"Sntb2",0,0,0,0,3,1,1,0,2,0,0,4,0,0,5,4,3,2,1,1,3,3,0,3,1,6,3,3,2,6,3,3,4,1,2,0,2,4,0,2,1,3,4,2,0,0,1,8,4,1,2,6,3,0,2,0,1,2,3,4,5,1,1,2,0,0,0,3,0,2,1,3,3,0,3,2,0,3,4,1,0,0,1,0,3
"Cog8",0,1,0,6,6,4,5,0,2,0,3,15,6,4,5,9,4,10,2,2,9,6,1,2,1,8,3,1,2,12,6,10,9,2,4,0,6,9,5,8,3,4,5,2,6,0,4,8,4,3,2,15,7,2,5,7,7,5,11,11,12,3,4,5,9,4,4,4,0,3,3,4,5,2,4,8,4,2,4,5,0,1,1,0,2
"Cyb5b",0,0,0,3,5,5,2,0,2,2,8,1,6,11,4,7,4,0,6,10,7,6,2,8,2,4,3,7,3,8,4,7,12,6,5,1,10,1,1,7,8,4,5,5,5,1,4,8,3,1,6,10,3,3,3,6,9,11,12,4,6,0,3,4,4,7,6,3,4,5,6,4,6,2,2,3,3,3,5,5,1,1,2,2,2
"Nfat5",0,2,0,1,6,3,2,0,0,0,1,7,0,2,4,4,4,3,6,2,5,4,2,6,3,4,3,3,4,4,4,7,8,4,5,1,1,4,4,5,3,7,4,1,3,1,2,7,1,5,3,11,3,1,1,7,3,2,7,5,2,3,4,6,3,4,6,8,2,6,3,2,3,1,3,0,2,0,1,2,0,2,0,1,2
"Nob1",0,2,0,1,4,3,2,0,0,0,2,4,2,3,2,5,0,3,1,6,3,3,4,5,2,6,5,2,2,5,1,4,8,6,4,1,4,2,3,1,4,1,4,4,4,2,3,10,4,1,1,6,5,3,2,4,4,7,6,5,10,0,2,0,6,5,2,8,0,5,1,4,4,0,2,3,2,1,2,6,0,0,0,0,1
"Wwp2",0,0,1,0,4,2,2,0,1,2,0,2,0,4,3,6,6,3,0,5,10,3,2,3,3,6,1,4,2,9,4,6,11,1,7,2,2,7,4,3,3,4,2,6,3,0,3,9,4,3,1,3,2,1,3,4,7,3,3,3,4,0,3,6,6,3,2,4,2,3,4,3,1,2,2,7,0,5,3,4,2,1,1,2,4
"Dhx38",0,0,0,5,5,5,3,0,3,0,1,14,5,2,2,6,4,5,3,7,14,5,5,8,9,4,6,4,2,12,8,16,20,5,6,2,8,4,1,7,9,7,5,5,7,4,8,15,1,10,9,8,4,3,1,6,12,7,7,9,7,4,0,8,8,16,8,7,2,10,4,3,9,1,6,5,1,5,7,6,3,3,2,1,4
"Txnl4b",0,0,0,0,5,1,3,0,1,0,2,2,0,2,3,3,0,1,5,2,2,3,0,5,1,5,3,4,0,2,2,3,9,6,1,0,3,7,2,2,4,5,10,2,6,2,4,5,2,2,3,8,3,2,1,3,10,2,4,3,3,0,3,2,3,2,2,8,3,3,2,2,0,0,0,2,0,6,4,5,1,0,0,0,2
"Dhodh",0,0,1,0,2,5,2,0,3,0,0,4,7,2,5,4,3,3,1,0,7,2,0,2,2,5,4,4,0,3,6,8,9,4,2,1,2,7,2,5,8,8,6,0,1,0,3,4,1,6,2,4,2,4,3,3,4,8,6,4,6,2,2,1,4,0,4,3,0,4,3,4,6,1,0,3,0,4,2,0,2,0,0,0,0
"Pkd1l3",0,1,0,0,2,6,1,0,0,0,0,1,0,0,3,4,3,4,1,1,5,5,0,5,3,3,0,3,0,7,4,3,4,2,0,1,2,3,2,2,1,6,3,2,2,0,2,3,2,4,2,2,4,2,1,2,4,2,2,3,1,1,1,1,2,5,2,3,1,3,4,1,7,1,2,5,0,2,2,6,0,2,0,0,0
"Ist1",0,0,2,0,2,9,2,0,0,0,0,8,7,8,6,9,4,7,2,5,8,9,3,9,5,6,3,4,4,10,3,4,6,10,8,2,7,3,0,8,7,12,4,2,5,4,1,10,2,3,0,11,5,2,1,12,11,9,5,7,10,0,3,6,8,7,2,6,3,7,5,4,6,2,6,2,3,2,2,8,1,1,0,0,3
"Zfp821",2,4,0,4,5,14,3,0,0,1,4,11,3,2,9,7,5,4,3,6,14,5,4,9,10,6,4,8,3,10,5,5,7,5,7,2,3,6,1,11,5,6,9,2,6,3,5,13,3,6,6,10,4,3,6,8,18,18,6,7,6,1,2,7,3,5,1,12,3,4,4,3,6,6,6,7,3,6,6,5,1,0,3,1,2
"Atxn1l",0,1,0,3,3,6,1,0,1,2,1,1,2,3,5,4,3,3,2,2,4,2,2,1,3,4,0,1,0,4,3,3,7,2,3,0,2,0,1,5,3,4,1,0,1,0,1,3,3,0,2,4,3,0,0,5,8,4,2,2,4,2,3,1,9,4,4,6,0,5,2,1,4,1,2,9,1,3,5,4,0,0,1,0,3
"Ap1g1",0,2,0,6,6,2,2,0,0,0,3,5,1,4,5,4,3,5,3,2,8,1,3,6,4,6,2,4,2,2,6,3,11,0,4,0,5,4,2,5,5,1,7,5,2,1,5,3,4,2,0,3,2,3,1,2,3,4,10,3,1,0,1,2,4,4,2,11,2,2,3,4,5,2,4,5,1,2,1,5,1,1,0,2,0
"Phlpp2",0,0,0,2,6,3,3,0,1,2,4,6,3,2,4,9,7,2,0,2,8,4,2,9,4,7,3,3,3,9,3,4,7,6,7,2,6,3,2,1,8,2,7,3,3,1,5,10,6,5,2,10,5,2,2,4,8,5,7,2,4,1,1,5,9,1,7,7,1,10,2,4,1,2,0,2,2,2,1,3,1,3,0,1,3
"Tat",0,0,0,0,0,0,2,0,0,0,0,1,0,2,4,4,3,0,0,2,5,1,2,3,1,0,2,2,0,5,1,4,6,3,0,0,0,0,0,5,3,5,2,0,4,2,0,5,0,5,1,0,1,1,0,5,2,13,1,4,2,0,2,1,1,3,0,2,1,0,0,1,1,4,0,3,1,4,3,0,0,0,0,2,2
"Chst4",0,0,0,3,5,8,2,0,0,0,4,3,2,2,2,8,3,0,1,9,3,6,1,5,2,8,3,4,3,8,5,5,4,1,4,3,2,0,2,7,3,5,2,3,3,2,7,12,2,3,4,8,4,1,2,5,7,7,11,6,8,1,4,2,8,3,6,7,2,5,3,3,3,1,1,5,2,3,11,2,2,0,1,0,3
"Cmtr2",0,1,0,2,2,0,0,0,0,1,3,3,4,2,0,4,3,2,0,2,4,3,2,6,1,2,1,1,2,1,1,0,7,0,4,3,3,4,0,4,3,2,2,4,0,0,1,9,4,0,2,2,7,3,5,3,4,7,7,2,1,0,4,5,4,1,3,5,2,2,1,5,2,1,1,6,1,1,5,4,1,0,2,0,1
"Vac14",2,0,0,0,3,3,0,0,0,0,2,4,4,2,2,3,3,2,1,0,3,2,0,0,2,3,2,0,1,5,1,0,4,1,7,0,2,2,0,6,2,0,3,2,5,1,5,2,4,2,5,7,2,0,2,0,2,3,6,1,5,1,0,1,2,5,2,8,1,4,1,4,1,6,1,4,0,4,2,2,2,0,3,1,2
"Mtss1l",7,2,2,4,15,21,9,2,10,2,8,18,16,17,16,46,19,19,2,21,19,15,3,21,11,16,10,14,24,37,13,8,24,16,22,10,12,19,8,14,17,12,17,14,6,3,9,29,13,10,11,28,17,5,6,28,24,19,15,13,11,16,15,18,11,15,5,34,7,17,14,9,8,5,9,22,5,15,5,19,2,0,1,2,8
"Sf3b3",0,2,1,2,4,2,5,0,2,0,2,7,1,2,6,6,8,6,1,7,15,5,4,8,8,7,1,6,6,11,4,7,11,2,7,0,2,2,1,7,5,2,4,6,6,1,4,17,3,9,3,11,1,4,3,9,6,10,10,2,7,4,2,6,6,4,2,6,4,8,7,6,6,0,4,4,2,8,5,4,1,0,2,1,3
"Cog4",2,0,0,3,6,5,0,0,1,0,3,4,1,10,6,9,6,4,2,4,8,0,4,8,4,2,5,5,1,3,4,8,6,5,10,5,4,4,0,4,6,9,3,3,5,1,3,7,2,5,0,7,2,1,5,7,10,7,3,2,6,0,2,3,6,5,4,3,3,1,3,1,9,0,1,6,1,6,5,4,0,0,2,1,3
"St3gal2",2,4,0,3,2,11,4,2,0,6,3,17,15,17,15,18,15,15,7,9,18,10,4,7,3,8,6,8,5,25,10,9,14,7,10,5,7,8,4,13,17,7,17,10,5,2,7,7,13,12,9,17,7,5,8,8,14,12,13,4,8,4,12,7,16,7,9,9,6,9,4,8,10,3,8,9,3,12,5,13,3,2,4,3,7
"Ddx19b",0,0,2,3,4,6,1,0,0,1,1,6,2,2,7,9,8,2,2,4,7,3,2,6,4,4,3,3,2,8,1,1,10,4,2,4,3,2,1,0,3,3,4,6,3,0,1,8,4,1,3,7,6,1,1,7,9,8,4,4,5,2,4,3,5,3,1,7,1,2,3,1,2,4,1,3,1,5,1,4,1,0,2,2,2
"Aars",4,3,1,2,8,8,5,0,1,1,5,8,5,9,9,8,13,7,6,5,11,4,4,10,4,11,7,3,3,14,4,5,19,4,11,5,9,6,2,9,6,11,8,0,8,1,8,12,5,8,8,15,8,3,3,11,9,16,3,5,16,5,4,8,10,4,3,12,0,6,4,6,11,2,5,5,3,7,5,5,2,0,4,0,9
"Clec18a",0,0,0,0,4,3,0,0,1,0,2,2,4,0,2,4,4,2,1,0,7,2,5,2,3,7,2,1,3,3,2,4,4,5,5,0,2,0,1,4,5,3,3,2,5,0,1,5,2,2,1,5,2,2,3,3,10,7,6,1,3,0,2,4,1,6,0,4,0,3,2,2,2,0,1,6,0,1,4,8,0,1,1,0,3
"Pdpr",2,0,2,0,1,2,2,0,0,0,2,8,2,4,1,8,4,2,0,2,5,2,2,5,4,2,1,1,0,4,2,3,3,5,3,0,1,4,1,2,2,7,3,4,1,2,0,3,2,2,6,8,3,0,5,6,5,8,1,6,5,2,2,4,1,3,2,6,0,4,1,0,3,0,2,1,1,2,3,5,0,0,0,0,1
"Mlkl",0,1,1,2,2,3,1,0,2,0,2,4,6,5,5,6,1,1,1,2,2,0,3,5,4,3,2,2,1,9,2,5,8,4,1,2,4,3,2,2,4,5,2,4,4,1,3,4,1,5,2,4,2,2,2,4,10,3,4,2,4,0,0,2,4,3,0,3,2,2,4,2,3,3,2,4,0,6,0,4,1,0,2,1,3
"Wdr59",0,1,1,1,5,4,2,0,0,1,2,7,1,5,4,3,4,2,2,3,5,1,0,6,3,3,1,3,0,5,1,2,7,6,6,2,4,3,2,3,3,0,0,3,1,1,0,5,6,4,1,5,2,3,1,5,4,7,3,2,5,0,3,4,2,0,1,3,1,4,3,0,1,3,1,1,1,3,3,7,1,0,1,1,0
